company_name,raw_name,isin,sector,symbol,ticker,tradable
APOLLO HOSPITALS ENTERPRISE LTD,APOLLO HOSPITALS ENTERPRISE LTD. FV-5,INE437A01024,HUMAN HEALTH ACTIVITIES,APOLLOHOSP,APOLLOHOSP.NS,Y
ASIAN PAINTS LTD,ASIAN PAINTS LTD.FV-1,INE021A01026,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,ASIANPAINT,ASIANPAINT.NS,Y
AXIS BANK LTD,AXIS BANK LTD.FV-2,INE238A01034,BANKING & FINANCE,AXISBANK,AXISBANK.NS,Y
BAJAJ AUTO LTD,BAJAJ AUTO LTD.,INE917I01010,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,BAJAJ-AUTO,BAJAJ-AUTO.NS,Y
BAJAJ FINANCE LIMITED,BAJAJ FINANCE LIMITEDFV-2FV-1,INE296A01032,BANKING & FINANCE,BAJFINANCE,BAJFINANCE.NS,Y
BAJAJ FINSERV LIMITED,BAJAJ FINSERV LIMITEDFV-1,INE918I01026,BANKING & FINANCE,BAJAJFINSV,BAJAJFINSV.NS,Y
BHARAT ELECTRONICS LTD,BHARAT ELECTRONICS LTD.FV-1,INE263A01024,"MANUFACTURE OF COMPUTER, ELECTRONIC AND OPTICAL PRODUCTS",BEL,BEL.NS,Y
BHARAT FORGE LTD,BHARAT FORGE LTD.,INE465A01025,"MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENT",BHARATFORG,BHARATFORG.NS,Y
BHARTI AIRTEL LTD,BHARTI AIRTEL LTD.,INE397D01024,TELECOMMUNICATIONS,BHARTIARTL,BHARTIARTL.NS,Y
BRITANNIA INDUSTRIES LTD,BRITANNIA INDUSTRIES LTD_FV2FV-1,INE216A01030,MANUFACTURE OF FOOD PRODUCTS,BRITANNIA,BRITANNIA.NS,Y
COHANCE LIFESCIENCES LIMITED,COHANCE LIFESCIENCES LIMITED,INE03QK01018,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",COHANCE,COHANCE.NS,Y
DIVIS LABORATORIES LTD,DIVIS LABORATORIES LTD,INE361B01024,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",DIVISLAB,DIVISLAB.NS,Y
DR. REDDYS LABORATORIES LTD,DR. REDDYS LABORATORIES LTD.FV-1,INE089A01031,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",DRREDDY,DRREDDY.NS,Y
EICHER MOTORS LTD,EICHER MOTORS LTD.FV-1,INE066A01021,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,EICHERMOT,EICHERMOT.NS,Y
ETERNAL LIMITED,ETERNAL LIMITED,INE758T01015,INFORMATION SERVICE ACTIVITIES,ETERNAL,ETERNAL.NS,Y
GRANULES INDIA LTD,GRANULES INDIA LTD.,INE101D01020,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",GRANULES,GRANULES.NS,Y
GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD.FV-2,INE047A01021,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,GRASIM,GRASIM.NS,Y
HCL TECHNOLOGIES LTD,HCL TECHNOLOGIES LTD.,INE860A01027,"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",HCLTECH,HCLTECH.NS,Y
HDFC BANK LTD,HDFC BANK LTD.FV-2FV-1,INE040A01034,BANKING & FINANCE,HDFCBANK,HDFCBANK.NS,Y
HDFC LIFE INSURANCE COMPANY LIMITED,HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,BANKING & FINANCE,HDFCLIFE,HDFCLIFE.NS,Y
HINDALCO INDUSTRIES LTD,HINDALCO INDUSTRIES LTD.,INE038A01020,MANUFACTURE OF BASIC METALS,HINDALCO,HINDALCO.NS,Y
HINDUSTAN AERONAUTICS LTD FV 5,HINDUSTAN AERONAUTICS LTD FV 5,INE066F01020,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,HAL,HAL.NS,Y
HINDUSTAN UNILEVER LTD,HINDUSTAN UNILEVER LTD.,INE030A01027,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,HINDUNILVR,HINDUNILVR.NS,Y
ICICI BANK LTD,ICICI BANK LTD.FV-2,INE090A01021,BANKING & FINANCE,ICICIBANK,ICICIBANK.NS,Y
INFOSYS LIMITED,INFOSYS LIMITED,INE009A01021,"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",INFY,INFY.NS,Y
INTERGLOBE AVIATION LIMITED,INTERGLOBE AVIATION LIMITED,INE646L01027,AIR TRANSPORT,INDIGO,INDIGO.NS,Y
ITC LTD,ITC LTD.,INE154A01025,Manufacture of tobacco products,ITC,ITC.NS,Y
KARNATAKA BANK LIMITED,KARNATAKA BANK LIMITED,INE614B01018,BANKING & FINANCE,KTKBANK,KTKBANK.NS,Y
KEYSTONE REALTORS LIMITED,KEYSTONE REALTORS LIMITED,INE263M01029,CONSTRUCTION OF BUILDINGS,RUSTOMJEE,RUSTOMJEE.NS,Y
KOTAK MAHINDRA BANK LTD,KOTAK MAHINDRA BANK LTD. FV-1,INE237A01036,BANKING & FINANCE,KOTAKBANK,KOTAKBANK.NS,Y
LARSEN & TOUBRO LTD,LARSEN & TOUBRO LTD.,INE018A01030,CIVIL ENGINEERING,LT,LT.NS,Y
MAHINDRA & MAHINDRA LTD,MAHINDRA & MAHINDRA LTD.FV-5,INE101A01026,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",M&M,M&M.NS,Y
